GEMEINDE_COMUNE_DE; GEMEINDE_COMUNE_IT; CODE_STRASSE_VIA; STRASSE_VIA_DE; STRASSE_VIA_IT; 
Aldein; Aldino; 10; BADERWEG; VIA BADER; 
Aldein; Aldino; 20; BURG; BURG; 
Aldein; Aldino; 22; BURG, BACHNER; BURG, BACHNER; 
Aldein; Aldino; 30; DACHSELWEG; VIA DACHSEL; 
Aldein; Aldino; 40; DORF; PAESE; 
Aldein; Aldino; 42; DORF, GATTERTORGUT; PAESE, GATTERTORGUT; 
Aldein; Aldino; 44; DORF, HOCHHAUS; PAESE, HOCHHAUS; 
Aldein; Aldino; 46; DORF, KRAMER; PAESE, KRAMER; 
Aldein; Aldino; 48; DORF, KRONE; PAESE, KRONE; 
Aldein; Aldino; 50; DORF, ORTNER; PAESE, ORTNER; 
Aldein; Aldino; 52; DORF, STEGER; PAESE, STEGER; 
Aldein; Aldino; 54; DORF, WEBER; PAESE, WEBER; 
Aldein; Aldino; 60; EGGERERWEG; VIA EGGERER; 
Aldein; Aldino; 62; EGGERERWEG, FEICHTNER; VIA EGGERER, FEICHTNER; 
Aldein; Aldino; 64; EGGERERWEG, HAIDE; VIA EGGERER, HAIDE; 
Aldein; Aldino; 66; EGGERERWEG, VILLA ANNA; VIA EGGERER, VILLA ANNA; 
Aldein; Aldino; 68; EGGERERWEG, WALDRUH; VIA EGGERER, WALDRUH; 
Aldein; Aldino; 70; EICH; EICH; 
Aldein; Aldino; 72; EICH, EBNERHOF; EICH, MASO EBNER; 
Aldein; Aldino; 74; EICH, GMUAN; EICH, GMUAN; 
Aldein; Aldino; 76; EICH, GRASSNER; EICH, GRASSNER; 
Aldein; Aldino; 78; EICH, GSALB; EICH, GSALB; 
Aldein; Aldino; 80; EICH, GSALBENBACH; EICH, GSALBENBACH; 
Aldein; Aldino; 82; EICH, GURNDIN; EICH, GURNDIN; 
Aldein; Aldino; 84; EICH, HÄUSL; EICH, HÄUSL; 
Aldein; Aldino; 88; EICH, HEUSCHRECKHOF; EICH, MASO HEUSCHRECK; 
Aldein; Aldino; 90; EICH, KARNOL; EICH, KARNOL; 
Aldein; Aldino; 92; EICH, KOFL; EICH, KOFL; 
Aldein; Aldino; 94; EICH, LINDHOF; EICH, MASO LIND; 
Aldein; Aldino; 96; EICH, MAURACH; EICH, MAURACH; 
Aldein; Aldino; 98; EICH, SCHMIEDER; EICH, SCHMIEDER; 
Aldein; Aldino; 100; EICH, SONNE; EICH, SONNE; 
Aldein; Aldino; 102; EICH, STEINHAUS; EICH, STEINHAUS; 
Aldein; Aldino; 104; EICH, STIMPFLHOF; EICH, MASO STIMPFL; 
Aldein; Aldino; 106; EICH, TALBLICK; EICH, TALBLICK; 
Aldein; Aldino; 103; EICH, UNTERSTEINHAUS; EICH, UNTERSTEINHAUS; 
Aldein; Aldino; 108; EICH, WOLLER; EICH, WOLLER; 
Aldein; Aldino; 110; EICH, WÖTSCHL; EICH, WÖTSCHL; 
Aldein; Aldino; 112; EICH, ZOLL; EICH, ZOLL; 
Aldein; Aldino; 120; GALLERTONIWEG; VIA GALLERTONI; 
Aldein; Aldino; 132; GEAR, HAUSER; GEAR, HAUSER; 
Aldein; Aldino; 134; GEAR, LAHN; GEAR, LAHN; 
Aldein; Aldino; 136; GEAR, PAULNER; GEAR, PAULNER; 
Aldein; Aldino; 138; GEAR, ZIRMER; GEAR, ZIRMER; 
Aldein; Aldino; 155; GEWERBEGEBIET NEUSTATT; ZONA PRODUTTIVA NEUSTATT; 
Aldein; Aldino; 556; GÖLLERWEG; VIA GÖLLER; 
Aldein; Aldino; 558; GÖLLERWEG, DITELKRAMER; VIA GÖLLER, DITELKRAMER; 
Aldein; Aldino; 559; GÖLLERWEG, NEUEGG; VIA GÖLLER, NEUEGG; 
Aldein; Aldino; 557; GÖLLERWEG, TANNER; VIA GÖLLER, TANNER; 
Aldein; Aldino; 140; GRUBE; GRUBE; 
Aldein; Aldino; 142; GRUBE, BIENER; GRUBE, BIENER; 
Aldein; Aldino; 144; GRUBE, PITSCHLHOF; GRUBE, MASO PITSCHL; 
Aldein; Aldino; 146; GRUBE, STEINHAUS; GRUBE, STEINHAUS; 
Aldein; Aldino; 150; HANDWERKERZONE; ZONA ARTIGIANALE; 
Aldein; Aldino; 160; HANDWERKERZONE NEURADEIN; ZONA ARTIG. NUOVA REDAGNO; 
Aldein; Aldino; 170; HINTERHOLEN; HINTERHOLEN; 
Aldein; Aldino; 180; HOLEN; OLMI; 
Aldein; Aldino; 182; HOLEN, ADAM; OLMI, ADAM; 
Aldein; Aldino; 184; HOLEN, BERNARD; OLMI, BERNARD; 
Aldein; Aldino; 186; HOLEN, EBNERMÜHLE; OLMI, EBNERMÜHLE; 
Aldein; Aldino; 188; HOLEN, MÜLLER; OLMI, MÜLLER; 
Aldein; Aldino; 189; HOLEN, WEISSEGG; OLMI, WEISSEGG; 
Aldein; Aldino; 190; JOCHGRIMM; OCCLINI; 
Aldein; Aldino; 200; KRANEBITTWEG; VIA KRANEBITT; 
Aldein; Aldino; 202; KRANEBITTWEG, KRANEBITT; VIA KRANEBITT, KRANEBITT; 
Aldein; Aldino; 204; KRANEBITTWEG, PUTZER; VIA KRANEBITT, PUTZER; 
Aldein; Aldino; 206; KRANEBITTWEG, WIESENHEIM; VIA KRANEBITT, WIESENHEIM; 
Aldein; Aldino; 210; KRONBERG; KRONBERG; 
Aldein; Aldino; 212; KRONBERG, BACH; KRONBERG, BACH; 
Aldein; Aldino; 214; KRONBERG, BAUER AM WEG; KRONBERG, BAUER AM WEG; 
Aldein; Aldino; 216; KRONBERG, GAMPEN; KRONBERG, GAMPEN; 
Aldein; Aldino; 218; KRONBERG, HOLZ; KRONBERG, HOLZ; 
Aldein; Aldino; 220; KRONBERG, LÖG; KRONBERG, LÖG; 
Aldein; Aldino; 222; KRONBERG, MÖRTH; KRONBERG, MÖRTH; 
Aldein; Aldino; 226; KRONBERG, TONL; KRONBERG, TONL; 
Aldein; Aldino; 228; KRONBERG, ZÖBEL; KRONBERG, ZÖBEL; 
Aldein; Aldino; 224; KRONBERG,TIELER; KRONBERG, TIELER; 
Aldein; Aldino; 230; LERCH; LERCH; 
Aldein; Aldino; 232; LERCH, BAUER AM LEHEN; LERCH, BAUER AM LEHEN; 
Aldein; Aldino; 234; LERCH, BICHL; LERCH, BICHL; 
Aldein; Aldino; 236; LERCH, EIPER; LERCH, EIPER; 
Aldein; Aldino; 238; LERCH, FLASCHER; LERCH, FLASCHER; 
Aldein; Aldino; 240; LERCH, HÄUSLER; LERCH, HÄUSLER; 
Aldein; Aldino; 242; LERCH, HUANZ; LERCH, HUANZ; 
Aldein; Aldino; 244; LERCH, LARCHER; LERCH, LARCHER; 
Aldein; Aldino; 246; LERCH, LEIT; LERCH, LEIT; 
Aldein; Aldino; 248; LERCH, MOSER; LERCH, MOSER; 
Aldein; Aldino; 250; LERCH, PIRCHER; LERCH, PIRCHER; 
Aldein; Aldino; 254; LERCH, REITERER; LERCH, REITERER; 
Aldein; Aldino; 252; LERCH, RENNER; LERCH, RENNER; 
Aldein; Aldino; 256; LERCH, RUANER; LERCH, RUANER; 
Aldein; Aldino; 258; LERCH, SCHEIDNER; LERCH, SCHEIDNER; 
Aldein; Aldino; 260; LERCH, SCHLÖGLER; LERCH, SCHLÖGLER; 
Aldein; Aldino; 262; LERCH, SCHMIEDERALM; LERCH, MALGA SCHMIEDER; 
Aldein; Aldino; 264; LERCH, SCHNELL; LERCH, SCHNELL; 
Aldein; Aldino; 266; LERCH, SCHORNHOF; LERCH, MASO SCHORN; 
Aldein; Aldino; 268; LERCH, SONNBERG; LERCH, SONNBERG; 
Aldein; Aldino; 270; LERCH, SONNLEITEN; LERCH, SONNLEITEN; 
Aldein; Aldino; 272; LERCH, STÜRZHOF; LERCH, MASO STÜRZ; 
Aldein; Aldino; 274; LERCH, THALERHOF; LERCH, THALERHOF; 
Aldein; Aldino; 276; LERCH, THALERHOF-KASER; LERCH, THALERHOF-KASER; 
Aldein; Aldino; 278; LERCH, UNICH; LERCH, UNICH; 
Aldein; Aldino; 280; LERCH, WÖSERHOF; LERCH, MASO WÖSER; 
Aldein; Aldino; 290; MESSNERWEG; VIA MESSNER; 
Aldein; Aldino; 292; MESSNERWEG, MESSNER; VIA MESSNER, MESSNER; 
Aldein; Aldino; 300; MITTERSTRICH; MITTERSTRICH; 
Aldein; Aldino; 302; MITTERSTRICH, AUCHT; MITTERSTRICH, AUCHT; 
Aldein; Aldino; 304; MITTERSTRICH, BERGFRIED; MITTERSTRICH, BERGFRIED; 
Aldein; Aldino; 308; MITTERSTRICH, FIN; MITTERSTRICH, FIN; 
Aldein; Aldino; 310; MITTERSTRICH, FÖRSTER; MITTERSTRICH, FÖRSTER; 
Aldein; Aldino; 312; MITTERSTRICH, GÄRBER; MITTERSTRICH, GÄRBER; 
Aldein; Aldino; 314; MITTERSTRICH, GRABENWIES; MITTERSTRICH, GRABENWIES; 
Aldein; Aldino; 316; MITTERSTRICH, LEHNER; MITTERSTRICH, LEHNER; 
Aldein; Aldino; 318; MITTERSTRICH, NEUAUCHT; MITTERSTRICH, NEUAUCHT; 
Aldein; Aldino; 320; MITTERSTRICH, ÖLHÄUSL; MITTERSTRICH, ÖLHÄUSL; 
Aldein; Aldino; 322; MITTERSTRICH, RASTER; MITTERSTRICH, RASTER; 
Aldein; Aldino; 324; MITTERSTRICH, RESCHEN; MITTERSTRICH, RESCHEN; 
Aldein; Aldino; 326; MITTERSTRICH, TOLLEN; MITTERSTRICH, TOLLEN; 
Aldein; Aldino; 328; MITTERSTRICH, TRENNEWIES; MITTERSTRICH, TRENNEWIES; 
Aldein; Aldino; 330; MITTERSTRICH, WALDEGG; MITTERSTRICH, WALDEGG; 
